clase,cantidad_imagenes
Afro-ecuadorians,50
European descendants,50
Indigenous,50
Mestizos,280

total_imagenes,430
imagenes_corruptas,0
canales,3
formatos,.jpg
resolucion_mas_comun,"((1920, 1280), 429)"
peso_promedio_kb,818.3
