0,1,2,3,4,5,6,7
3.151593650318007,9.908483593098778,14.25414383783826,13.986982332772833,-29.564769186769006,-18.984397602759753,-28.107810006807398,Afro-ecuadorians
3.1558448457708743,9.892225782979956,14.480344442529232,13.867233586062262,28.606249217369403,-18.82118235660905,28.057729700190126,Afro-ecuadorians
3.148662565320636,9.794004607693834,13.835428220710922,13.27996451421589,-26.849438708699754,-18.18010735708627,-27.476367750512544,Afro-ecuadorians
3.1526863374325056,10.054083304915821,13.713914244636154,13.217973378325615,26.766128820480677,18.353618050347098,-26.934638193753614,Afro-ecuadorians
3.156882729309864,10.023745408808319,14.185741882130937,13.896132180488314,27.959509100408834,18.94807274525655,-28.441059352160266,Afro-ecuadorians
3.156572573688484,11.254771236979783,14.42241873820451,13.902108001557295,-28.31136032483022,19.814352855767456,-28.14832242197912,Afro-ecuadorians
3.145885865953905,10.973526634779981,13.80628164145883,13.315007529960287,-26.92451606900537,20.275864818710286,27.223508988845037,Afro-ecuadorians
3.148365421250275,10.150121976754958,14.307175057184383,13.616221481758663,-27.755378733937018,-19.152565694468407,-27.70446799381461,Afro-ecuadorians
3.1506711693282683,9.8207370576291,14.006867545771243,13.191918320241962,-26.827781860940757,-18.102469084752688,27.196697051602232,Afro-ecuadorians
3.1574152424871222,10.074618299560603,13.822158149452228,14.411972888282037,29.1982923900711,19.969002055830337,28.539233749233492,Afro-ecuadorians
3.16195667308399,10.001629715449724,13.782022357731565,14.70538903028409,28.997259194866295,-19.830803301422744,-29.29974577312821,Afro-ecuadorians
3.154868229644134,9.958952130210246,14.625033812907152,13.983682593538948,-28.312092230586195,-19.029483467839903,28.777762198567526,Afro-ecuadorians
3.1594000775483693,10.044709319846651,14.091295943565688,13.602329916562985,-27.459274945461225,-18.630408599002305,28.11971664697475,Afro-ecuadorians
3.159231628886944,10.546945759542504,15.205299733798356,14.596753466864975,-29.517566672046936,20.623340331426178,-30.02778976855573,Afro-ecuadorians
3.1542814048542804,9.94575410034587,14.534738579832577,14.339522988737423,-30.07561044457569,-19.58193722667435,28.777202542093143,Afro-ecuadorians
3.136634628260494,9.22423212131166,14.02745649672905,14.591288820223255,29.837053982624127,-19.221373567250815,28.903591671558512,Afro-ecuadorians
3.156939904037835,10.241677806900208,15.260284414523854,14.407881630580976,30.304476923171453,-19.530418006319753,29.243599071253616,Afro-ecuadorians
3.1555782445989444,10.011990347985849,15.17606649985902,14.803530518394005,30.17165744095048,-19.83444978199459,29.835134428714348,Afro-ecuadorians
3.1481228115802278,9.748083732131727,13.965821203544365,13.322856930144692,-26.979971326624515,-18.198659226723496,27.588743446220295,Afro-ecuadorians
3.153151855404508,9.93695870698515,14.287573857852198,13.370562374702102,28.049817869168812,-18.80750809873069,-27.2040031425575,Afro-ecuadorians
3.1428558787709857,9.478496690047933,13.71698198222482,13.540504837269221,-27.20913096488364,-18.320471026909896,-27.55686926273652,Afro-ecuadorians
3.1588155893569554,9.976372744569012,14.277271173292235,13.59275658282951,-27.52891232105288,-18.60660670876903,-28.667911837883373,Afro-ecuadorians
3.155102141931404,9.995041297373655,14.210464153386562,14.14657923620626,-28.526073648580077,-19.380083947937965,28.434700352091056,Afro-ecuadorians
3.153159660423672,9.8332706919302,13.750931323860556,13.147563228276308,-26.602648973665236,-18.073428667957856,-27.384950854811045,Afro-ecuadorians
3.1516510137593627,9.926529856732202,14.045040954854224,13.58920272275182,-27.50564795357239,-18.79199552763561,-27.623947990364595,Afro-ecuadorians
3.1533827155756073,9.701409882787527,13.394850998371146,12.819742112696604,-25.92771579405923,-17.677320729130425,-27.180419610915255,Afro-ecuadorians
3.152903882981155,9.587161112727996,13.647411224427783,13.029329415464312,-26.37053667257299,-17.826818405027208,-27.311068959304333,Afro-ecuadorians
3.14755593740351,9.651139702047644,13.389996926583013,13.296814061719617,-26.64043250284917,-18.156060647470404,28.14456743761493,Afro-ecuadorians
3.152922732007796,10.058782175020514,14.28829308657866,13.620249622576008,-27.584767620527476,-18.65461254336343,-28.242710500015367,Afro-ecuadorians
3.1486599301779865,9.904768917340752,13.756835388489158,14.452021291462447,28.994322762009684,-19.93611218973762,-28.58747094059281,Afro-ecuadorians
3.1460761655139033,10.115213396017,13.735564364001783,13.433803545122428,27.1260788660691,18.928994155544956,-27.22255494743784,Afro-ecuadorians
3.1583365165718855,10.095280858086804,14.57603325551693,14.261292220558742,-28.767612468822385,20.07844170654808,-28.91929391190198,Afro-ecuadorians
3.1565962581697864,9.78429112374664,13.464174335814665,13.1485042807614,-26.46979321191161,-18.06072265705456,27.043337557656827,Afro-ecuadorians
3.146730488071599,10.053725619212864,13.779106727976268,13.081309815826822,-26.54078156858686,-18.144098273584326,26.961199700503034,Afro-ecuadorians
3.157569662120772,10.164925322674122,14.256285756530017,14.067442668405766,30.837172609424105,-19.455045684649203,-28.22930820224286,Afro-ecuadorians
3.1578502363936987,9.920212449731292,14.39190884590178,14.229020353137354,-28.694102397286024,-19.551882576059075,28.68597357409035,Afro-ecuadorians
3.1425537348404355,9.612522028194618,13.582258534190917,14.176166543722873,28.133992632195213,-19.592602990593242,-28.314129756264407,Afro-ecuadorians
3.1385611134914764,9.500357249208257,14.620787427455273,13.843864191461213,28.64720299886906,-19.11660774162768,28.092440918700646,Afro-ecuadorians
